trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'e': 0.9125800000000001, 'a': 0.38}",35,0,-53.94731732125667,"{0: 28, 1: 1, 2: 4, 3: 2, 4: 0}",0
94,False,"{'e': 0.9107000000000001, 'a': 0.38}",20,0,-129.1632359616286,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
95,False,"{'e': 0.9088, 'a': 0.38}",20,0,-133.75373217706212,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
96,False,"{'e': 0.90688, 'a': 0.38}",25,0,-72.6823455357949,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
97,False,"{'e': 0.90494, 'a': 0.38}",25,13,-16.67477707017083,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
98,False,"{'e': 0.90298, 'a': 0.38}",20,0,-87.16678651886279,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
99,False,"{'e': 0.901, 'a': 0.38}",20,10,-6.35904901280283,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'e': 0.899, 'a': 0.38}",30,0,-212.93975009189222,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 5}",0
101,False,"{'e': 0.89698, 'a': 0.38}",25,0,-132.5030512503039,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
102,False,"{'e': 0.89494, 'a': 0.38}",25,0,-146.87541452619584,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
103,False,"{'e': 0.89288, 'a': 0.38}",30,0,-95.59451625959876,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
104,False,"{'e': 0.8908, 'a': 0.38}",30,0,-148.21057528637598,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
105,False,"{'e': 0.8887, 'a': 0.38}",20,0,-84.3255685040216,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
106,False,"{'e': 0.88658, 'a': 0.38}",25,0,-82.1285886766049,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
107,False,"{'e': 0.88444, 'a': 0.38}",30,21,-10.113682090048293,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
108,False,"{'e': 0.88228, 'a': 0.38}",30,8,-29.065579808647207,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 0}",1
109,False,"{'e': 0.8801, 'a': 0.38}",20,0,-112.25734791359253,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
110,False,"{'e': 0.8779, 'a': 0.38}",25,0,-118.8450805534007,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
111,False,"{'e': 0.87568, 'a': 0.38}",20,0,-52.600213042799666,"{0: 11, 1: 7, 2: 1, 3: 1, 4: 0}",0
112,False,"{'e': 0.87344, 'a': 0.38}",25,0,-156.25808178282574,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
113,False,"{'e': 0.87118, 'a': 0.38}",30,0,-179.0383093824368,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
114,False,"{'e': 0.8689, 'a': 0.38}",25,0,-40.033159165617015,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
115,False,"{'e': 0.8666, 'a': 0.38}",30,0,-224.7750389248078,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
116,False,"{'e': 0.86428, 'a': 0.38}",25,0,-114.45701890823317,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
117,False,"{'e': 0.86194, 'a': 0.38}",25,14,-50.20500508585451,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
118,False,"{'e': 0.85958, 'a': 0.38}",25,9,-59.68576209989954,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 0}",1
119,False,"{'e': 0.8572, 'a': 0.38}",25,0,-89.4495884438854,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
120,False,"{'e': 0.8548, 'a': 0.38}",20,9,-51.51611502027177,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 0}",1
121,False,"{'e': 0.85238, 'a': 0.38}",25,0,-204.7253321400197,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
122,False,"{'e': 0.84994, 'a': 0.38}",20,11,-15.7214108857853,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'e': 0.84748, 'a': 0.38}",25,16,-5.925481317039176,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
124,False,"{'e': 0.845, 'a': 0.38}",30,0,-107.45724256649994,"{0: 16, 1: 7, 2: 5, 3: 2, 4: 0}",0
125,False,"{'e': 0.8425, 'a': 0.38}",20,0,-33.29351841843974,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
126,False,"{'e': 0.8399800000000001, 'a': 0.38}",25,0,-299.75867613735426,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 6}",0
127,False,"{'e': 0.8374400000000001, 'a': 0.38}",20,7,-39.405667487310936,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
128,False,"{'e': 0.8348800000000001, 'a': 0.38}",25,0,-195.21269726819835,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
129,False,"{'e': 0.8323, 'a': 0.38}",30,0,-171.80422495599842,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
